2491.75,2492.00,2487.50,2487.50
2487.75,2488.00,2483.50,2483.50
2483.75,2484.50,2479.50,2479.50
2479.75,2499.50,2477.75,2499.50
2499.25,2503.50,2499.25,2503.50
2503.25,2505.75,2483.50,2483.50
2483.75,2503.50,2483.00,2503.50
2503.25,2507.50,2502.25,2507.50
2507.25,2511.50,2507.50,2511.50
2511.25,2515.50,2501.25,2515.50
2515.25,2519.25,2495.50,2495.50
2495.75,2496.75,2491.50,2491.50
2491.75,2509.75,2487.50,2487.50
2487.75,2488.25,2483.50,2483.50
2483.75,2487.25,2479.50,2479.50
2479.75,2482.25,2475.50,2475.50
2475.75,2495.50,2472.75,2495.50
2495.25,2499.50,2487.00,2499.50
2499.25,2503.50,2481.75,2503.50
2503.25,2507.50,2502.00,2507.50
2507.25,2511.50,2506.00,2511.50
2511.25,2515.50,2502.25,2515.50
2515.25,2519.50,2510.25,2519.50
2519.25,2523.00,2499.50,2499.50
2499.75,2508.25,2495.50,2495.50
2495.75,2497.50,2491.50,2491.50
2491.75,2492.00,2487.50,2487.50
2487.75,2489.50,2483.50,2483.50
2483.75,2490.75,2479.50,2479.50
2479.75,2490.00,2476.75,2488.00
